"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"occupancy","R2B operating theatres",1,30,0.0747142592848319,0.0702136051222962,0.0792149134473677,1,"moderate_intensity"
"occupancy","R2B operating theatres",2,30,0.0743208305706275,0.0708821437010486,0.0777595174402064,31,"moderate_intensity"
"occupancy","R2B operating theatres",3,30,0.0803095625306932,0.0757347318005072,0.0848843932608792,61,"moderate_intensity"
"occupancy","R2B operating theatres",4,30,0.0757023008776358,0.0710057478983512,0.0803988538569204,91,"moderate_intensity"
"occupancy","R2B operating theatres",5,30,0.0784782349405237,0.0733419241812668,0.0836145456997807,121,"moderate_intensity"
"occupancy","R2B operating theatres",6,30,0.0756856174474826,0.072295866526586,0.0790753683683792,151,"moderate_intensity"
"occupancy","R2B operating theatres",7,30,0.0783730326076931,0.0737544069905202,0.082991658224866,181,"moderate_intensity"
"occupancy","R2B operating theatres",8,30,0.0758722930408493,0.0710271375604647,0.080717448521234,211,"moderate_intensity"
"occupancy","R2B operating theatres",9,30,0.0748673860402161,0.070827566280686,0.0789072057997462,241,"moderate_intensity"
"occupancy","R2B operating theatres",10,30,0.0764579305464807,0.0711890438374391,0.0817268172555224,271,"moderate_intensity"
"occupancy","R2B operating theatres",11,30,0.0791117845341516,0.0742807086448178,0.0839428604234855,301,"moderate_intensity"
"occupancy","R2B operating theatres",12,30,0.0792629332837911,0.0738760935248129,0.0846497730427692,331,"moderate_intensity"
"occupancy","R2E holding beds",1,30,0.503492030622372,0.457222689844399,0.549761371400345,1,"moderate_intensity"
"occupancy","R2E holding beds",2,30,0.549482453164421,0.500068080697632,0.598896825631211,31,"moderate_intensity"
"occupancy","R2E holding beds",3,30,0.523654903699739,0.466656868744024,0.580652938655455,61,"moderate_intensity"
"occupancy","R2E holding beds",4,30,0.540358662256179,0.497737004669548,0.58298031984281,91,"moderate_intensity"
"occupancy","R2E holding beds",5,30,0.523349886417712,0.482323111155127,0.564376661680298,121,"moderate_intensity"
"occupancy","R2E holding beds",6,30,0.527646858172474,0.484154207337085,0.571139509007864,151,"moderate_intensity"
"occupancy","R2E holding beds",7,30,0.526110872559835,0.485909672603452,0.566312072516218,181,"moderate_intensity"
"occupancy","R2E holding beds",8,30,0.503243404445428,0.46571685411451,0.540769954776346,211,"moderate_intensity"
"occupancy","R2E holding beds",9,30,0.561069327256106,0.520467915648054,0.601670738864157,241,"moderate_intensity"
"occupancy","R2E holding beds",10,30,0.522457206289516,0.478783822383002,0.566130590196029,271,"moderate_intensity"
"occupancy","R2E holding beds",11,30,0.571733220801788,0.525116928026752,0.618349513576824,301,"moderate_intensity"
"occupancy","R2E holding beds",12,30,0.519072664455407,0.482191377767385,0.55595395114343,331,"moderate_intensity"
"occupancy","R2E intensive care",1,30,0.840163894057714,0.819830396013046,0.860497392102382,1,"moderate_intensity"
"occupancy","R2E intensive care",2,30,0.885834529597134,0.86560237161763,0.906066687576639,31,"moderate_intensity"
"occupancy","R2E intensive care",3,30,0.884206935651048,0.864755208447912,0.903658662854185,61,"moderate_intensity"
"occupancy","R2E intensive care",4,30,0.860875792586702,0.842074440572591,0.879677144600814,91,"moderate_intensity"
"occupancy","R2E intensive care",5,30,0.882800186684625,0.864888476081411,0.900711897287838,121,"moderate_intensity"
"occupancy","R2E intensive care",6,30,0.872549049665646,0.856577668174649,0.888520431156643,151,"moderate_intensity"
"occupancy","R2E intensive care",7,30,0.883902809910693,0.870399767081585,0.897405852739801,181,"moderate_intensity"
"occupancy","R2E intensive care",8,30,0.865222628166114,0.844163484990478,0.88628177134175,211,"moderate_intensity"
"occupancy","R2E intensive care",9,30,0.877351012284489,0.858420217052539,0.89628180751644,241,"moderate_intensity"
"occupancy","R2E intensive care",10,30,0.881827917363301,0.863895816453407,0.899760018273195,271,"moderate_intensity"
"occupancy","R2E intensive care",11,30,0.889552779638019,0.868715532988874,0.910390026287164,301,"moderate_intensity"
"occupancy","R2E intensive care",12,30,0.882309741371646,0.867016755438527,0.897602727304766,331,"moderate_intensity"
"occupancy","R2E operating theatres",1,30,0.393645623713836,0.336287234015325,0.451004013412347,1,"moderate_intensity"
"occupancy","R2E operating theatres",2,30,0.458022271479289,0.397770263108971,0.518274279849607,31,"moderate_intensity"
