"decisions","boarded","queued_at_end","mean_wait_days","p90_wait_days","mean_wait_critical","mean_wait_standard","sorties_scheduled","sorties_flown","cancellation_rate","role4_peak","role4_peak_day","role4_peak_after_end","hold_total_bed_days","hold_evac_bed_days","hold_recovery_bed_days","hold_post_definitive_bed_days","hold_post_op_bed_days","hold_unexplained_bed_days","hold_evac_share","ventilated_holds","ventilated_hold_hours","replication","setting","value","arm","scenario"
244,239,5,1.59261462926219,4,1.98858045423976,1.10413342461695,4,4,0,151,30,0,735.76726894714,241,285.375113343503,165.652433971581,43.7397216320562,0,0.327549226734241,19,41.7356810926544,8,"shipped",0,"high","high_intensity"
265,231,34,1.89445265327004,4.48197830461444,2.36158812661621,1.3036636722734,4,4,0,143,30,0,728.718513799247,210,297.734745478462,179.793288726387,41.190479594398,-1.13686837721616e-13,0.288177116435733,20,77.838659924969,9,"shipped",0,"high","high_intensity"
253,244,9,1.46351365660401,4.55088335288018,1.91848882685096,0.900012298958696,4,4,0,159,30,0,738.916804089191,294.406500520542,256.484655653212,179.830037151651,35.6021112843283,-27.4065005205424,0.398429835255182,14,32.5950652469972,10,"shipped",0,"high","high_intensity"
262,245,17,1.80402957632878,5,2.61890762686307,0.787300999515364,4,4,0,154,30,0,696.963716419951,304,181.673488876661,170.355222212744,40.9350053305453,-1.13686837721616e-13,0.436177655791807,18,37.8998871340334,11,"shipped",0,"high","high_intensity"
281,253,28,2.59620902372865,5.60732816805615,2.81643213769619,2.36710594548822,4,4,0,164,30,0,835.820745452856,158,420.527075684983,206.388116168541,50.9055535993312,0,0.189035748226606,21,84.6551231870463,12,"shipped",0,"high","high_intensity"
279,247,32,3.15664748315839,6,3.85127269817998,2.29152335172241,4,4,0,168,30,0,824.802811694072,347,233.362420153462,194.743943084693,49.696448455917,-1.13686837721616e-13,0.420706616272673,16,63.1783085745674,13,"shipped",0,"high","high_intensity"
245,201,44,2.34424761348633,5.13076716985422,2.88029128580283,1.61270566067793,4,4,0,140,30,0,808.291836038079,231,353.511566172326,181.307552791703,42.4727170740503,0,0.285787867328054,12,75.6055698231387,14,"shipped",0,"high","high_intensity"
256,228,28,1.25893397934647,4,1.62751199456948,0.819475576580575,4,4,0,162,29,-1,696.900178403909,198,286.387431459759,170.968008977386,41.5447379667636,1.13686837721616e-13,0.284115295326045,17,27.7418268302811,15,"shipped",0,"high","high_intensity"
260,234,26,2.12043469064547,5,2.51946981232019,1.54682170323806,4,4,0,168,30,0,790.96342715175,247.776247768093,320.332866091384,201.391929775767,46.2386312845983,-24.7762477680932,0.313258792078836,21,56.7578321716581,16,"shipped",0,"high","high_intensity"
253,229,24,1.95962289507793,4,2.24904733507952,1.61175698161448,4,4,0,146,25,-5,806.800131060401,168,370.417255477248,208.776418345762,59.6064572373913,0,0.208230010794858,19,67.1475616421829,17,"shipped",0,"high","high_intensity"
284,239,45,3.27218139728643,5.92966457492774,3.72430090555253,2.65443395034859,4,4,0,161,29,-1,843.14014760204,300,258.187142265157,219.282242789005,65.6707625478778,0,0.355812732738709,16,99.4584091559604,18,"shipped",0,"high","high_intensity"
255,228,27,2.83992227833677,5.58041490474406,3.63149071315813,1.48294781864301,4,4,0,164,30,0,766.422738025591,407.696142549556,141.118259076948,172.169974844634,45.4383615544539,-1.13686837721616e-13,0.531946825585885,19,46.2127439535896,19,"shipped",0,"high","high_intensity"
282,258,24,2.05892739904891,5,2.63905689974462,1.39177847324883,4,4,0,185,29,-1,770.011656948389,308,208.520766838795,197.405460998579,56.0854291110147,-1.13686837721616e-13,0.399993944534068,17,51.1773288528428,20,"shipped",0,"high","high_intensity"
266,248,18,2.53061141541165,5.4169177481695,3.32332603757839,1.45100959665124,4,4,0,173,30,0,816.082601037837,352,199.406936994275,211.655709739981,53.0199543035812,0,0.431328886992997,18,65.8370568399629,21,"shipped",0,"high","high_intensity"
267,257,10,2.06901152261286,5,2.83284455098539,1.09563138026203,4,4,0,179,30,0,774.082133149083,361.547518845845,175.413021720695,181.376768594992,55.7448239875504,0,0.467066094621013,16,65.0372174458462,22,"shipped",0,"high","high_intensity"
287,255,32,2.62018376685627,5.6747737919041,2.85487430729993,2.32526291072352,4,4,0,162,30,0,823.205871531231,309,259.844279320041,197.625010107576,56.7365821036147,1.13686837721616e-13,0.375361754193072,11,103.451576455805,23,"shipped",0,"high","high_intensity"
294,256,38,2.93440475260372,5.53665979994835,3.70802744325932,1.93974700747509,4,4,0,168,29,-1,819.443196806525,365.506880740695,192.209022026933,206.182417271659,55.5448767672382,0,0.446042974259987,12,129.955013996476,24,"shipped",0,"high","high_intensity"
238,215,23,3.11219006834725,6,3.87727749259345,1.56046346142538,4,4,0,160,30,0,812.795395252657,403.769803759326,159.416472761282,192.331682381632,57.2774363504175,0,0.496766844543717,17,90.4316899959352,25,"shipped",0,"high","high_intensity"
253,227,26,2.89954442678557,5.44157554367963,3.25533452676145,2.28227003646599,4,4,0,165,30,0,800.747761352739,324.276243014366,214.5597950845,204.909719903203,57.0020033506699,-1.13686837721616e-13,0.404966780633331,16,81.6134033058951,26,"shipped",0,"high","high_intensity"
249,215,34,3.23139414259236,5.94573042208728,3.72923829557166,2.39128213443979,4,4,0,150,30,0,823.969451479174,356,208.8377435823,212.174953728135,46.9567541687381,1.13686837721616e-13,0.432054852714401,22,70.3059744505859,27,"shipped",0,"high","high_intensity"
258,228,30,2.43204044599002,5,2.84007966956987,1.87098651356773,4,4,0,153,25,-5,801.948062218222,230,340.385388371219,181.850263626744,49.7124102202585,0,0.286801615760266,20,79.3547542896736,28,"shipped",0,"high","high_intensity"
