"stage","replication","day","n_decisions","daily_rate","cumulative_rate","intensity"
"Stabilisation",9,29,6,0.5,0.469387755102041,"Moderate intensity"
"Stabilisation",9,30,0,NA,0.469387755102041,"Moderate intensity"
"Stabilisation",10,1,1,0,0,"Moderate intensity"
"Stabilisation",10,2,4,1,0.8,"Moderate intensity"
"Stabilisation",10,3,4,1,0.888888888888889,"Moderate intensity"
"Stabilisation",10,4,13,0.461538461538462,0.636363636363636,"Moderate intensity"
"Stabilisation",10,5,5,0.2,0.555555555555556,"Moderate intensity"
"Stabilisation",10,6,1,1,0.571428571428571,"Moderate intensity"
"Stabilisation",10,7,0,NA,0.571428571428571,"Moderate intensity"
"Stabilisation",10,8,2,1,0.6,"Moderate intensity"
"Stabilisation",10,9,7,0.285714285714286,0.540540540540541,"Moderate intensity"
"Stabilisation",10,10,10,0.3,0.48936170212766,"Moderate intensity"
"Stabilisation",10,11,8,0.625,0.509090909090909,"Moderate intensity"
"Stabilisation",10,12,2,0.5,0.508771929824561,"Moderate intensity"
"Stabilisation",10,13,4,0,0.475409836065574,"Moderate intensity"
"Stabilisation",10,14,7,0.428571428571429,0.470588235294118,"Moderate intensity"
"Stabilisation",10,15,5,0.8,0.493150684931507,"Moderate intensity"
"Stabilisation",10,16,2,0,0.48,"Moderate intensity"
"Stabilisation",10,17,2,0,0.467532467532468,"Moderate intensity"
"Stabilisation",10,18,2,0,0.455696202531646,"Moderate intensity"
"Stabilisation",10,19,4,0.5,0.457831325301205,"Moderate intensity"
"Stabilisation",10,20,2,1,0.470588235294118,"Moderate intensity"
"Stabilisation",10,21,1,0,0.465116279069767,"Moderate intensity"
"Stabilisation",10,22,7,0.285714285714286,0.451612903225806,"Moderate intensity"
"Stabilisation",10,23,4,0.25,0.443298969072165,"Moderate intensity"
"Stabilisation",10,24,1,1,0.448979591836735,"Moderate intensity"
"Stabilisation",10,25,4,0.5,0.450980392156863,"Moderate intensity"
"Stabilisation",10,26,0,NA,0.450980392156863,"Moderate intensity"
"Stabilisation",10,27,4,0,0.433962264150943,"Moderate intensity"
"Stabilisation",10,28,5,0.8,0.45045045045045,"Moderate intensity"
"Stabilisation",10,29,3,0.333333333333333,0.447368421052632,"Moderate intensity"
"Stabilisation",10,30,5,0.6,0.453781512605042,"Moderate intensity"
"Stabilisation",11,1,0,NA,NA,"Moderate intensity"
"Stabilisation",11,2,3,0,0,"Moderate intensity"
"Stabilisation",11,3,3,0,0,"Moderate intensity"
"Stabilisation",11,4,0,NA,0,"Moderate intensity"
"Stabilisation",11,5,1,0,0,"Moderate intensity"
"Stabilisation",11,6,2,0,0,"Moderate intensity"
"Stabilisation",11,7,1,0,0,"Moderate intensity"
"Stabilisation",11,8,5,0.2,0.0666666666666667,"Moderate intensity"
"Stabilisation",11,9,2,0.5,0.117647058823529,"Moderate intensity"
"Stabilisation",11,10,6,0.5,0.217391304347826,"Moderate intensity"
"Stabilisation",11,11,3,0.333333333333333,0.230769230769231,"Moderate intensity"
"Stabilisation",11,12,2,1,0.285714285714286,"Moderate intensity"
"Stabilisation",11,13,3,0,0.258064516129032,"Moderate intensity"
"Stabilisation",11,14,1,0,0.25,"Moderate intensity"
"Stabilisation",11,15,1,0,0.242424242424242,"Moderate intensity"
"Stabilisation",11,16,0,NA,0.242424242424242,"Moderate intensity"
"Stabilisation",11,17,1,0,0.235294117647059,"Moderate intensity"
"Stabilisation",11,18,4,0.25,0.236842105263158,"Moderate intensity"
"Stabilisation",11,19,4,0.25,0.238095238095238,"Moderate intensity"
"Stabilisation",11,20,1,1,0.255813953488372,"Moderate intensity"
"Stabilisation",11,21,2,0,0.244444444444444,"Moderate intensity"
"Stabilisation",11,22,1,0,0.239130434782609,"Moderate intensity"
"Stabilisation",11,23,2,0,0.229166666666667,"Moderate intensity"
"Stabilisation",11,24,2,0,0.22,"Moderate intensity"
"Stabilisation",11,25,4,1,0.277777777777778,"Moderate intensity"
