"pool","replication","zero_share","longest_busy_days","intensity"
"R2E intensive care",1,0.808558422164228,2.54773980584641,"Moderate intensity"
"R2E intensive care",2,0.704151425532345,2.32319119751178,"Moderate intensity"
"R2E intensive care",3,0.808019691601971,1.11104118651609,"Moderate intensity"
"R2E intensive care",4,0.40265587854595,10.4847075912662,"Moderate intensity"
"R2E intensive care",5,0.616978513645496,2.73003622535266,"Moderate intensity"
"R2E intensive care",6,0.805732052970681,2.34373421836941,"Moderate intensity"
"R2E intensive care",7,0.938570048143311,1.09922190437143,"Moderate intensity"
"R2E intensive care",8,0.827419860891591,1.81693222573881,"Moderate intensity"
"R2E intensive care",9,0.83968847376649,1.10651486642619,"Moderate intensity"
"R2E intensive care",10,0.509498720721309,11.2071878303201,"Moderate intensity"
"R2E intensive care",11,0.802474823762629,1.49506285881761,"Moderate intensity"
"R2E intensive care",12,0.802000452259613,1.47074740070805,"Moderate intensity"
"R2E intensive care",13,0.903276029112621,1.42784777275176,"Moderate intensity"
"R2E intensive care",14,0.742297198438533,1.47077369584831,"Moderate intensity"
"R2E intensive care",15,0.70694339378695,2.77427559022252,"Moderate intensity"
"R2E intensive care",16,0.617703321155159,2.62703384236562,"Moderate intensity"
"R2E intensive care",17,0.694988374104,1.33060457670816,"Moderate intensity"
"R2E intensive care",18,0.734066411874414,1.88394314650374,"Moderate intensity"
"R2E intensive care",19,0.772032466882748,1.82013641019365,"Moderate intensity"
"R2E intensive care",20,0.895251005156699,0.98207206292002,"Moderate intensity"
"R2E intensive care",21,0.794489675602923,0.908072960853441,"Moderate intensity"
"R2E intensive care",22,0.815665404056539,2.15598553630157,"Moderate intensity"
"R2E intensive care",23,0.909125766747687,1.17915194568927,"Moderate intensity"
"R2E intensive care",24,0.90877651685758,0.753183248986039,"Moderate intensity"
"R2E intensive care",25,0.795252383869753,1.45269067011508,"Moderate intensity"
"R2E intensive care",26,0.722464029409506,1.47490708412038,"Moderate intensity"
"R2E intensive care",27,0.838653589011135,1.12041695919706,"Moderate intensity"
"R2E intensive care",28,0.867152871513013,1.09782471500964,"Moderate intensity"
"R2E intensive care",29,0.695073247276083,1.78114145370488,"Moderate intensity"
"R2E intensive care",30,0.735087594898093,2.8537973174455,"Moderate intensity"
"R2E intensive care",31,0.684673415261864,1.91165046780787,"Moderate intensity"
"R2E intensive care",32,0.78628086135357,1.71975273214902,"Moderate intensity"
