"i","r2b_ot_q","r2e_ot_q","system_ot_q","transport_q","transport_util"
308,0,7.69009655096182,7.69009655096182,0.11821538985369,0.118223080624963
309,0,15.6846105392589,15.6846105392589,0.0957415973504828,0.122659356966728
310,0,11.4245434552924,11.4245434552924,0.103325911003625,0.10457039954716
311,0,3.0595654936708,3.0595654936708,0.0994460046515632,0.256708447190136
312,0,6.6376508543711,6.6376508543711,0.0864582253524444,0.109032183590419
313,0,6.82632593214567,6.82632593214567,0.0968536759115301,0.0992211583065037
314,0,6.01473060860087,6.01473060860087,0.0640040836481557,0.125205558292977
315,0,7.10042716246418,7.10042716246418,0.152811314221649,0.106513308078804
316,0,0.698996542168629,0.698996542168629,0.0350208206997873,0.127242715124857
317,0,4.24519706662274,4.24519706662274,0.0529490871558483,0.14776651689513
318,0,15.9771124047407,15.9771124047407,0.0674972982974146,0.102144304147048
319,0,15.1513917092484,15.1513917092484,0.191927460346767,0.127513829275737
320,0,36.5100003201807,36.5100003201807,0.384831377042968,0.122496629362857
321,0,11.0386994684671,11.0386994684671,0.100675754884579,0.137335380179351
322,0,21.4277738942427,21.4277738942427,0.135719297214806,0.110522552015434
323,0,18.3411933602475,18.3411933602475,0.224248667734146,0.144724187731729
324,0,15.781824461757,15.781824461757,0.233439627813193,0.142920356958011
325,0,14.8215539100227,14.8215539100227,0.138782607261834,0.109163951556312
326,0,12.9844648490177,12.9844648490177,0.117848986858191,0.114716802110721
327,0,13.0794817620604,13.0794817620604,0.178106404471769,0.12608381389346
328,0,34.734870028284,34.734870028284,0.285796732244032,0.136437651277835
329,0,16.7911809677941,16.7911809677941,0.257608090445747,0.155046609196347
330,0,3.14012140923106,3.14012140923106,0.129412199481028,0.13007148303143
331,0,7.8580870267578,7.8580870267578,0.0803876648877947,0.0971787214656323
332,0,2.11279446018184,2.11279446018184,0.0669512190249834,0.130627008317762
333,0,24.2111073293521,24.2111073293521,0.259335225366892,0.134256745723872
334,0,10.7757933693574,10.7757933693574,0.226094979260576,0.141758454911886
335,0,4.74336756717462,4.74336756717462,0.0674546358044603,0.105995785722542
336,0,6.67469785241184,6.67469785241184,0.172690406009872,0.113142863926388
337,0,1.04546997445743,1.04546997445743,0.00778655481418867,0.152469632323591
338,0,1.6552009804362,1.6552009804362,0.0340402385031607,0.109077226945983
339,0,7.71368820683925,7.71368820683925,0.122530818577605,0.110385881074832
340,0,5.73132214060334,5.73132214060334,0.100855625457549,0.10599372917824
341,0,8.8388300161477,8.8388300161477,0.244212356553555,0.138143009785281
342,0,5.39521500794924,5.39521500794924,0.0817118064840141,0.131161690562818
343,0,5.14757243648542,5.14757243648542,0.0787472722869317,0.117362650538356
344,0,8.98368027122423,8.98368027122423,0.0884573689136902,0.106050512888274
345,0,7.56414088403375,7.56414088403375,0.0906315896894807,0.0963419022166571
346,0,11.6081236410288,11.6081236410288,0.225104161786738,0.134446604206081
347,0,0.438841959179531,0.438841959179531,0.0334430208935335,0.236163079263472
348,0,0.788898220091858,0.788898220091858,0.0712788640985523,0.121399555845258
349,0,20.2027884543229,20.2027884543229,0.290144429526156,0.132559077438034
350,0,4.81848507061159,4.81848507061159,0.0857690223320678,0.10490885460353
351,0,3.64215318827563,3.64215318827563,0.0367762157565317,0.124375826567365
352,0,9.90338640823471,9.90338640823471,0.196747759283092,0.125985265216983
353,0,2.35914956915883,2.35914956915883,0.0284926881181952,0.141856524848728
354,0,8.54194346509908,8.54194346509908,0.0773320384800226,0.126022019071701
355,0,20.3918201360435,20.3918201360435,0.233492273578469,0.134693612187931
