"saturation_threshold","response","n_reps","mean","ci_lower","ci_upper"
8,"hold_mean_queue",30,0.212445214673234,0.0722900509590642,0.352600378387403
8,"icu_occupancy",30,0.871012826191419,0.859987401378996,0.882038251003841
8,"icu_mean_queue",30,0.745471317080688,0.539852726539621,0.951089907621756
8,"total_rtd",30,2118.83333333333,2092.66731140872,2144.99935525795
8,"total_dow",30,15.4,14.1380922249229,16.6619077750771
8,"dispositions",30,2558.13333333333,2501.34259543777,2614.9240712289
8,"in_theatre_share",30,0.110700641691541,0.107943286859851,0.113457996523231
8,"post_definitive_icu_share",30,0.32359828073042,0.306081945209217,0.341114616251623
8,"evac_decisions",30,2297.16666666667,2243.62467480244,2350.70865853089
8,"never_evacuated",30,1.7,0.506428946084572,2.89357105391543
8,"mean_evac_wait_days",30,0.45735577026152,0.32718806927387,0.587523471249169
8,"role4_sustained",30,93.4354097551794,89.3305522335466,97.5402672768123
8,"role4_peak",30,182.033333333333,174.755309559914,189.311357106752
8,"theatre_mean_queue",30,2.38866972835311,1.95933577094388,2.81800368576233
8,"released_unrepaired",30,140.966666666667,122.317106125974,159.61622720736
8,"role4_operations",30,1097.13333333333,1042.60759507885,1151.65907158781
8,"role4_theatre_minutes",30,16088.0979263061,13896.3109607982,18279.8848918139
12,"hold_occupancy",30,0.494113779025892,0.468536702808741,0.519690855243044
12,"hold_mean_queue",30,0.255897491124306,0.095666789296739,0.416128192951874
12,"icu_occupancy",30,0.871469884846755,0.858994605396891,0.883945164296619
12,"icu_mean_queue",30,0.802347708956116,0.421034995124422,1.18366042278781
12,"total_rtd",30,2119.7,2092.94955267409,2146.45044732591
12,"total_dow",30,15.3333333333333,13.5296103309664,17.1370563357003
12,"dispositions",30,2542.1,2475.48548341657,2608.71451658343
12,"in_theatre_share",30,0.112088485086453,0.109409576241703,0.114767393931202
12,"post_definitive_icu_share",30,0.32988623820965,0.303616769246453,0.356155707172847
12,"evac_decisions",30,2278.46666666667,2214.0850099789,2342.84832335444
12,"never_evacuated",30,1.83333333333333,0.790543590228737,2.87612307643793
12,"mean_evac_wait_days",30,0.477314143120447,0.20662627126612,0.748002014974774
12,"role4_sustained",30,90.6314845711459,85.7811329196136,95.4818362226782
12,"role4_peak",30,174.433333333333,166.565371309513,182.301295357153
12,"theatre_mean_queue",30,2.98380250428018,2.02072359686312,3.94688141169724
12,"released_unrepaired",30,91.1666666666667,66.7641703206251,115.569163012708
12,"role4_operations",30,1032.26666666667,963.631987989397,1100.90134534394
