"i","dow_count","dow_rate_r1","dow_rate_r2b","dow_rate_r2e","dow_rate_r2e_postop","dow_rate_ame_wait","time_to_surgery_mean","time_to_surgery_p90","r2b_dwell_mean","r2b_r2e_transit_mean","r2e_dwell_mean","ot_util_r2b","ot_util_r2e","r2b_surgery_count","r2e_surgery_count","r2b_ot_q","r2e_ot_q","r2e_icu_q","r2b_hold_q","r2e_hold_q","transport_q","rtd_rate_r1","rtd_rate_r2b","rtd_rate_r2e","r2b_bypass_rate","total_rtd","role4_peak_occupancy","role4_mean_occupancy","ame_sortie_demand","ame_wait_critical_mean","ame_wait_standard_mean","ame_backlog_critical_mean","ame_backlog_critical_peak","ame_backlog_standard_mean","ame_backlog_standard_peak","ame_sorties_flown","system_ot_q","transport_util"
715,2.4,0,0.00167616493462957,0.00201139792155548,0.000335232986925914,0,1028.91967707023,3339.46603778643,2132.42913195687,31.7795158266181,8825.8026674611,0.0897187157689222,0.326688167590891,60,138.6,0,0.814351376295794,0.314863704330518,0.175096051986002,1.61634725106423,0.02683270977454,0.348307073416024,0.0130740864901106,0.023131076097888,0.136479591836735,229.4,23.4,11.5866666666667,16.6,10757.2682712515,10438.6446483633,10.5230401185386,19.4,1.25218152171394,3,2,0.814351376295794,0.170409625329184
716,2.4,0,0.00167616493462957,0.00201139792155548,0.000335232986925914,0,1028.91967707023,3339.46603778643,2132.42913195687,31.7795158266181,8825.8026674611,0.0897187157689222,0.326688167590891,60,138.6,0,0.814351376295794,0.314863704330518,0.175096051986002,1.61634725106423,0.02683270977454,0.348307073416024,0.0130740864901106,0.023131076097888,0.136479591836735,229.4,23.2,11.5333333333333,16.6,10757.2682712515,10438.6446483633,10.5230401185386,19.4,1.25218152171394,3,2,0.814351376295794,0.170409625329184
717,2.4,0.000343053173241852,0.00171526586620926,0.00171526586620926,0.000343053173241852,0,1016.07298543237,3339.30386996404,2070.50352563403,31.6460818238817,8829.25478016276,0.0895751300008729,0.332927450959828,59.4,138,0,0.825271873892053,0.319487113453169,0.164076645216495,1.58052355487442,0.0227466594174416,0.352658662092624,0.0137221269296741,0.0240137221269297,0.127107652399481,227.6,23.2,11.52,16.4,10705.3147850133,10438.6446483633,10.4153487427769,18.8,1.25310210743445,3,2,0.825271873892053,0.168646584464358
718,2.4,0.000999666777740753,0.00166611129623459,0.00133288903698767,0,0,1431.24886870991,4284.46217649289,2035.88419056274,31.3861994008493,8819.86249902837,0.093436146914757,0.453364063231872,63.8,150.8,0,1.63681632249562,0.837556550702787,0.241776635178369,1.77541227198571,0.027176579554628,0.342552482505831,0.012329223592136,0.0239920026657781,0.105009052504526,227.4,28.8,13.5533333333333,19.2,10731.4658268206,9030.833361095,12.1018276426215,18.6,2.0141063818771,4,2,1.63681632249562,0.116322021721093
719,4.4,0.00080450522928399,0.00375435773665862,0.00134084204880665,0,0,2661.90623642321,8733.4074940986,1963.04518812338,31.7656045299222,9261.5324772155,0.111829013207566,0.620274971745483,78,206,0,5.76581734663075,2.13376999865139,0.412086603726959,2.67658722598912,0.148784117817819,0.334137838562617,0.00938589434164655,0.0187717886832931,0.0984167736414206,270.2,22.4,10.04,19.4,10155.6502463023,13518.4786883291,15.8808849679635,30.2,2.10314692177321,3.6,2,5.76581734663075,0.160185848124618
720,3.8,0.00107411385606874,0.00241675617615467,0.00161117078410311,0,0,2817.50069815526,8140.90280302085,2061.66253688417,31.7860483939394,7415.65622968182,0.112813142585699,0.663210933587096,72,200.2,0,4.91455487990258,2.72506629506173,0.447555783575792,1.62287338619797,0.149664849606232,0.343179377013964,0.00698174006444683,0.0300751879699248,0.123411978221416,283.2,81.4,33.2,27,8993.86515352711,7501.33118136928,23.4010401172874,47.8,11.3509108508217,24.6,2,4.91455487990258,0.107123249852525
721,4.2,0.00156087408949011,0.00260145681581686,0.00104058272632674,0,0.000260145681581686,2395.65709658678,6715.53302236012,1953.05902360951,31.5923578632609,7503.70254768078,0.111987684962637,0.619930311985242,81.6,201.8,0,4.61700552651254,4.10017328062905,0.389462083875634,1.85928608956515,0.15115568988939,0.347814776274714,0.00650364203954214,0.0304370447450572,0.11790780141844,295.8,81.6,32.4,27,9630.71431713351,8486.10571037314,26.3883384083566,52.8,11.4766935573238,24.2,2,4.61700552651254,0.163255171079276
722,4,0.000773993808049536,0.00232198142414861,0.00180598555211558,0,0.000257997936016512,2716.09466833318,7578.47305219619,1721.25141014907,31.7496872190928,7730.9751936308,0.116060921413695,0.683844233944873,82.6,212.4,0,6.1341963562749,4.16442629696913,0.302702019739585,2.12689071004641,0.144641117006541,0.335139318885449,0.00825593395252838,0.0288957688338493,0.13719512195122,288.6,82,33.9333333333333,26.6,10473.8723216386,8793.51786790434,29.4136856555031,57.8,12.1840336915868,26.6,2,6.1341963562749,0.113237520861741
723,4.4,0.000965018094089264,0.00241254523522316,0.0014475271411339,0,0.000482509047044632,2650.47104657961,8883.92413983988,1863.69273340309,31.6678819911934,7064.77134277042,0.114038531158254,0.628846946489527,78.2,196.6,0,5.30870498783902,2.84924404443992,0.292703849844738,1.78026046160517,0.156733980964349,0.36043425814234,0.00965018094089264,0.0316043425814234,0.175169300225734,333,79.2,34.7466666666667,27.6,8227.44959743849,7224.7425762654,23.6962930702197,48.8,13.8902503814678,29.2,2,5.30870498783902,0.136366964425807
724,2.4,0.000761808024377857,0.00203148806500762,0.000253936008125952,0,0,3121.11674265893,9489.16476940967,1807.12269123304,31.3407322709756,7498.35975677607,0.114018230615287,0.622904068889425,78.4,202.8,0,6.99292716983397,4.16731576686137,0.358047839715697,1.86750759049117,0.148907701985467,0.337227018791265,0.00990350431691214,0.0256475368207212,0.131094756209752,293.6,82.2,31.5533333333333,26.4,10295.3522492803,8598.47794905115,29.2721392498065,53.6,12.379722437283,25.8,2,6.99292716983397,0.140385451379365
